,balance,equity,balance_btc,equity_btc
3660,100321.35350491316,100044.76957774785,9.817419008952289,9.813198100401754
3720,100321.35350491316,100372.03315784258,9.817419008952289,9.81682540232741
3780,100321.35350491316,100764.92653266039,9.817419008952289,9.821152509179873
3840,100321.35350491316,100611.53210519631,9.817419008952289,9.819466677193859
3900,100321.35350491316,100559.40456166414,9.817419008952289,9.8188927474573
3960,101092.36199098798,100853.79790730227,9.82444518215839,9.822127139146815
4020,101272.79318989158,101479.93635342413,9.82444518215839,9.82444518215839
4080,101272.79318989158,100932.88883007545,9.82444518215839,9.821116287336586
4140,101272.79318989158,100591.78968182045,9.82444518215839,9.81731948534118
4200,101272.79318989158,100549.11071786913,9.82444518215839,9.816842816640563
4260,101272.79318989158,100782.34848450174,9.82444518215839,9.819443417190127
4320,101272.79318989158,100418.63502807512,9.82444518215839,9.815383347448485
4380,102011.87167313581,100750.86582018441,9.831531417545296,9.819093008201618
4440,102011.87167313581,102096.52115864088,9.831531417545296,9.831531417545296
4500,101861.90459490682,101861.40419490682,9.831531417545296,9.83123291138952
4560,101861.90459490682,101983.20121518563,9.831531417545296,9.832558767911042
4620,101861.90459490682,102109.32042271731,9.831531417545296,9.833928717046327
4680,101861.90459490682,101910.05650782984,9.831531417545296,9.831762867372076
4740,101861.90459490682,101462.43306387519,9.831531417545296,9.826870030399535
4800,101861.90459490682,100730.98599031719,9.831531417545296,9.81879188910393
4860,101861.90459490682,100784.07131580726,9.831531417545296,9.819381662700351
4920,101861.90459490682,100981.45120035374,9.831531417545296,9.821569716810004
4980,101861.90459490682,100699.51160109138,9.831531417545296,9.818441951090016
5040,101861.90459490682,101240.00665832504,9.831531417545296,9.824424489863109
5100,102763.63453689775,101786.15380658167,9.838548064805911,9.830412344986405
5160,102570.1325790005,103061.93931422265,9.838548064805911,9.838548064805911
5220,102570.1325790005,101747.21523471431,9.838548064805911,9.829870023313545
5280,102570.1325790005,102630.64498423092,9.838548064805911,9.839578863707965
5340,102570.1325790005,101613.20747957211,9.838548064805911,9.828384232094992
5400,102570.1325790005,101710.90990254241,9.838548064805911,9.829467835627023
5460,102570.1325790005,101047.31060470895,9.838548064805911,9.82207148721191
5520,102570.1325790005,100953.27202260004,9.838548064805911,9.821016393376603
5580,102570.1325790005,101050.41931816709,9.838548064805911,9.822106336682241
5640,102570.1325790005,101516.06018400507,9.838548064805911,9.827304954889163
5700,102570.1325790005,101598.66314160722,9.838548064805911,9.828222765172733
5760,102570.1325790005,101693.70095304195,9.838548064805911,9.82927710738855
5820,102570.1325790005,101691.14736698706,9.838548064805911,9.829248800909653
5880,102570.1325790005,101285.01615877646,9.838548064805911,9.824730765343975
5940,102570.1325790005,100788.28815835704,9.838548064805911,9.819161100532131
6000,102570.1325790005,100231.49537290701,9.838548064805911,9.812859948592367
6060,102570.1325790005,100299.10989062168,9.838548064805911,9.813628432048256
6120,102570.1325790005,100941.8363980933,9.838548064805911,9.820887969396951
6180,102570.1325790005,100875.5541861464,9.838548064805911,9.820143101809272
6240,102570.1325790005,100699.13469739664,9.838548064805911,9.818156305747682
6300,102570.1325790005,101096.1618161941,9.838548064805911,9.822618902525422
6360,102570.1325790005,101421.57749997356,9.838548064805911,9.826253525408983
6420,102570.1325790005,101104.93282916528,9.838548064805911,9.822717138898227
6480,102570.1325790005,100757.64512569818,9.838548064805911,9.818815918790976
6540,102570.1325790005,101073.62364362254,9.838548064805911,9.822366403174156
6600,102570.1325790005,100713.79006084218,9.838548064805911,9.818321585538547
6660,102570.1325790005,101143.7917473921,9.838548064805911,9.823152181999472
6720,102570.1325790005,101360.40246013647,9.838548064805911,9.825571827411112
6780,102570.1325790005,101307.7763823093,9.838548064805911,9.82498481097417
6840,102570.1325790005,101150.6753271923,9.838548064805911,9.823229215942785
6900,102570.1325790005,101411.25213027328,9.838548064805911,9.826138516734876
6960,102570.1325790005,101541.8180955154,9.838548064805911,9.827591295615642
7020,102570.1325790005,101494.85431720127,9.838548064805911,9.827069120931487
7080,102570.1325790005,101672.16200979621,9.838548064805911,9.829038308922824
7140,102570.1325790005,101906.09269752167,9.838548064805911,9.83162707052605
7200,102570.1325790005,102174.10820780612,9.838548064805911,9.834580120432534
7260,102570.1325790005,101722.6786034911,9.838548064805911,9.829598236235697
7320,102570.1325790005,101978.92541282682,9.838548064805911,9.832430916545599
7380,102570.1325790005,101642.18513002126,9.838548064805911,9.828705811423378
7440,102570.1325790005,101627.08566465313,9.838548064805911,9.828538265440342
7500,102570.1325790005,101826.04332597445,9.838548064805911,9.830742400595335
7560,102570.1325790005,101838.03407788443,9.838548064805911,9.830874995451726
7620,102570.1325790005,101478.20049510407,9.838548064805911,9.826883849857898
7680,102570.1325790005,101567.79805798705,9.838548064805911,9.827879974569754
7740,102570.1325790005,101513.95069987274,9.838548064805911,9.827281498872946
7800,102570.1325790005,101704.80350110677,9.838548064805911,9.829400164405795
